hh_type,hh_id
Couple with no children,HHB5_20061
Couple with no children,HHB5_20062
Couple with independent children only,HHB5_20063
Live alone,HHB5_20065
Live alone,HHB5_20067
Other,HHB5_20068
Couple with independent children only,HHB5_20069
Couple with independent children only,HHB5_20070
Couple with no children,HHB5_20071
Couple with dependent children,HHB5_20072
Live alone,HHB5_20073
Couple with dependent children,HHB5_20075
Couple with no children,HHB5_20077
Other,HHB5_20078
Live alone,HHB5_20080
Couple with independent children only,HHB5_20081
Lone parent with independent children only,HHB5_20083
Couple with independent children only,HHB5_20085
Lone parent with independent children only,HHB5_20086
Couple with independent children only,HHB5_20088
Live alone,HHB5_20090
Couple with dependent children,HHB5_20091
Couple with dependent children,HHB5_20092
Couple with dependent children,HHB5_20093
Couple with no children,HHB5_20094
Couple with no children,HHB5_20097
Live alone,HHB5_20098
Two or more non-family adults,HHB5_20099
Live alone,HHB5_20100
Couple with no children,HHB5_20103
Couple with no children,HHB5_20104
Couple with dependent children,HHB5_20105
Couple with no children,HHB5_20106
Other,HHB5_20107
Live alone,HHB5_20108
Couple with dependent children,HHB5_20110
Couple with dependent children,HHB5_20111
Couple with no children,HHB5_20114
Couple with no children,HHB5_20115
Other,HHB5_20116
Lone parent with independent children only,HHB5_20118
Couple with dependent children,HHB5_20119
Couple with no children,HHB5_20120
Live alone,HHB5_20121
Couple with independent children only,HHB5_20122
Live alone,HHB5_20123
Couple with dependent children,HHB5_20125
Other,HHB5_20126
Couple with dependent children,HHB5_20127
Couple with independent children only,HHB5_20128
Live alone,HHB5_20129
Couple with dependent children,HHB5_20130
Couple with independent children only,HHB5_20132
Lone parent with independent children only,HHB5_20134
Live alone,HHB5_20135
Couple with no children,HHB5_20136
Couple with independent children only,HHB5_20138
Couple with independent children only,HHB5_20139
Couple with no children,HHB5_20140
Couple with no children,HHB5_20141
Couple with independent children only,HHB5_20143
Other,HHB5_20144
Live alone,HHB5_20146
Live alone,HHB5_20148
Couple with no children,HHB5_20149
Couple with independent children only,HHB5_20153
Couple with independent children only,HHB5_20155
Couple with independent children only,HHB5_20156
Couple with independent children only,HHB5_20157
Live alone,HHB5_20158
Couple with dependent children,HHB5_20160
Couple with independent children only,HHB5_20161
Couple with independent children only,HHB5_20162
Live alone,HHB5_20163
Couple with no children,HHB5_20165
Couple with dependent children,HHB5_20166
Live alone,HHB5_20168
Couple with no children,HHB5_20169
Live alone,HHB5_20170
Live alone,HHB5_20172
Couple with no children,HHB5_20173
Couple with independent children only,HHB5_20174
Couple with independent children only,HHB5_20175
Couple with independent children only,HHB5_20176
Couple with dependent children,HHB5_20178
Couple with no children,HHB5_20179
Couple with dependent children,HHB5_20180
Live alone,HHB5_20181
Couple with independent children only,HHB5_20182
Two or more non-family adults,HHB5_20183
Lone parent with independent children only,HHB5_20184
Lone parent with independent children only,HHB5_20185
Lone parent with dependent children,HHB5_20188
Other,HHB5_20189
Live alone,HHB5_20192
Couple with independent children only,HHB5_20195
Other,HHB5_20196
Live alone,HHB5_20197
Couple with independent children only,HHB5_20198
Couple with dependent children,HHB5_20200
Live alone,HHB5_20202
Couple with dependent children,HHB5_20203
Lone parent with dependent children,HHB5_20204
Lone parent with dependent children,HHB5_20205
Couple with dependent children,HHB5_20207
Couple with no children,HHB5_20210
Other,HHB5_20211
Live alone,HHB5_20212
Couple with independent children only,HHB5_20213
Couple with independent children only,HHB5_20214
Couple with no children,HHB5_20218
Lone parent with independent children only,HHB5_20219
Other,HHB5_20222
Two or more non-family adults,HHB5_20223
Couple with dependent children,HHB5_20224
Couple with dependent children,HHB5_20225
Couple with independent children only,HHB5_20226
Couple with independent children only,HHB5_20228
Couple with independent children only,HHB5_20229
Couple with dependent children,HHB5_20230
Couple with dependent children,HHB5_20231
Other,HHB5_20232
Couple with no children,HHB5_20233
Live alone,HHB5_20235
Live alone,HHB5_20236
Lone parent with dependent children,HHB5_20237
Live alone,HHB5_20238
Other,HHB5_20239
Couple with no children,HHB5_20240
Couple with dependent children,HHB5_20241
Couple with no children,HHB5_20242
Lone parent with dependent children,HHB5_20244
Live alone,HHB5_20246
Live alone,HHB5_20247
Couple with independent children only,HHB5_20249
Couple with no children,HHB5_20250
Two or more non-family adults,HHB5_20251
Other,HHB5_20252
Couple with dependent children,HHB5_20253
Live alone,HHB5_20254
Couple with independent children only,HHB5_20255
Couple with no children,HHB5_20256
Live alone,HHB5_20257
Couple with independent children only,HHB5_20258
Couple with no children,HHB5_20259
Couple with independent children only,HHB5_20260
Couple with independent children only,HHB5_20263
Couple with dependent children,HHB5_20264
Live alone,HHB5_20266
Couple with dependent children,HHB5_20267
Couple with dependent children,HHB5_20268
Couple with no children,HHB5_20269
Live alone,HHB5_20270
Couple with independent children only,HHB5_20271
Couple with no children,HHB5_20272
Couple with dependent children,HHB5_20273
Couple with no children,HHB5_20274
Live alone,HHB5_20275
Couple with no children,HHB5_20276
Live alone,HHB5_20277
Couple with no children,HHB5_20278
Live alone,HHB5_20279
Couple with no children,HHB5_20282
Live alone,HHB5_20284
Live alone,HHB5_20285
Couple with no children,HHB5_20286
Live alone,HHB5_20287
Couple with independent children only,HHB5_20288
Couple with dependent children,HHB5_20289
Couple with independent children only,HHB5_20291
Other,HHB5_20293
Couple with independent children only,HHB5_20294
Couple with dependent children,HHB5_20298
Lone parent with dependent children,HHB5_20300
Couple with dependent children,HHB5_20301
Couple with dependent children,HHB5_20304
Couple with no children,HHB5_20306
Couple with dependent children,HHB5_20307
Live alone,HHB5_20308
Couple with independent children only,HHB5_20309
Live alone,HHB5_20310
Couple with independent children only,HHB5_20311
Couple with dependent children,HHB5_20312
Couple with dependent children,HHB5_20313
Live alone,HHB5_20314
Lone parent with dependent children,HHB5_20316
Couple with dependent children,HHB5_20317
Couple with dependent children,HHB5_20318
Couple with dependent children,HHB5_20321
Couple with independent children only,HHB5_20322
Couple with no children,HHB5_20323
Couple with independent children only,HHB5_20324
Households containing two or more families,HHB5_20325
Couple with dependent children,HHB5_20326
Couple with no children,HHB5_20327
Couple with no children,HHB5_20329
Live alone,HHB5_20330
Couple with dependent children,HHB5_20332
Couple with dependent children,HHB5_20333
Two or more non-family adults,HHB5_20334
Live alone,HHB5_20335
Couple with no children,HHB5_20338
Couple with no children,HHB5_20340
Lone parent with dependent children,HHB5_20341
Live alone,HHB5_20342
Couple with no children,HHB5_20343
Live alone,HHB5_20344
Live alone,HHB5_20345
Couple with no children,HHB5_20346
Two or more non-family adults,HHB5_20348
Couple with no children,HHB5_20349
Couple with no children,HHB5_20350
Live alone,HHB5_20351
Couple with independent children only,HHB5_20355
Couple with no children,HHB5_20356
Households containing two or more families,HHB5_20358
Couple with dependent children,HHB5_20360
Couple with no children,HHB5_20362
Couple with independent children only,HHB5_20364
Live alone,HHB5_20365
Couple with dependent children,HHB5_20366
Live alone,HHB5_20367
Couple with independent children only,HHB5_20369
Couple with no children,HHB5_20370
Couple with no children,HHB5_20371
Couple with independent children only,HHB5_20372
Couple with dependent children,HHB5_20373
Couple with dependent children,HHB5_20374
Couple with no children,HHB5_20375
Couple with dependent children,HHB5_20376
Live alone,HHB5_20378
Couple with independent children only,HHB5_20379
Couple with no children,HHB5_20380
Live alone,HHB5_20381
Couple with no children,HHB5_20382
Two or more non-family adults,HHB5_20383
Couple with independent children only,HHB5_20384
Live alone,HHB5_20385
Live alone,HHB5_20386
Other,HHB5_20387
Couple with dependent children,HHB5_20389
Live alone,HHB5_20391
Couple with dependent children,HHB5_20394
Live alone,HHB5_20395
Couple with dependent children,HHB5_20397
Couple with no children,HHB5_20398
Other,HHB5_20399
Live alone,HHB5_20400
Other,HHB5_20401
Lone parent with dependent children,HHB5_20404
Lone parent with dependent children,HHB5_20405
Couple with independent children only,HHB5_20408
Couple with dependent children,HHB5_20409
Couple with dependent children,HHB5_20410
Couple with no children,HHB5_20413
Couple with no children,HHB5_20417
Couple with no children,HHB5_20420
Couple with dependent children,HHB5_20421
Couple with no children,HHB5_20422
Couple with no children,HHB5_20423
Live alone,HHB5_20424
Couple with no children,HHB5_20425
Couple with dependent children,HHB5_20427
Couple with no children,HHB5_20432
Couple with dependent children,HHB5_20433
Couple with independent children only,HHB5_20434
Couple with dependent children,HHB5_20435
Couple with dependent children,HHB5_20436
Couple with dependent children,HHB5_20438
Live alone,HHB5_20439
Lone parent with dependent children,HHB5_20441
Couple with no children,HHB5_20442
Live alone,HHB5_20443
Couple with independent children only,HHB5_20444
Couple with no children,HHB5_20446
Live alone,HHB5_20447
Couple with no children,HHB5_20448
Two or more non-family adults,HHB5_20449
Live alone,HHB5_20451
Live alone,HHB5_20452
Couple with no children,HHB5_20455
Couple with dependent children,HHB5_20456
Other,HHB5_20457
Couple with independent children only,HHB5_20459
Live alone,HHB5_20460
Couple with no children,HHB5_20462
Two or more non-family adults,HHB5_20463
Live alone,HHB5_20468
Couple with no children,HHB5_20469
Couple with independent children only,HHB5_20472
Couple with no children,HHB5_20473
Live alone,HHB5_20474
Couple with independent children only,HHB5_20475
Other,HHB5_20476
Couple with independent children only,HHB5_20477
Two or more non-family adults,HHB5_20478
Couple with no children,HHB5_20479
Lone parent with independent children only,HHB5_20480
Couple with independent children only,HHB5_20481
Couple with dependent children,HHB5_20484
Other,HHB5_20485
Couple with no children,HHB5_20486
Couple with dependent children,HHB5_20487
Couple with no children,HHB5_20488
Live alone,HHB5_20490
Lone parent with dependent children,HHB5_20492
Two or more non-family adults,HHB5_20493
Couple with no children,HHB5_20494
Couple with no children,HHB5_20495
Couple with dependent children,HHB5_20496
Couple with independent children only,HHB5_20498
Couple with dependent children,HHB5_20499
Couple with dependent children,HHB5_20500
Couple with dependent children,HHB5_20502
Couple with no children,HHB5_20503
Live alone,HHB5_20504
Couple with no children,HHB5_20505
Couple with no children,HHB5_20506
Two or more non-family adults,HHB5_20507
Couple with no children,HHB5_20508
Couple with no children,HHB5_20509
Two or more non-family adults,HHB5_20512
Live alone,HHB5_20514
Lone parent with independent children only,HHB5_20515
Live alone,HHB5_20519
Couple with no children,HHB5_20520
Other,HHB5_20521
Live alone,HHB5_20523
Couple with dependent children,HHB5_20525
Couple with dependent children,HHB5_20527
Other,HHB5_20528
Live alone,HHB5_20529
Other,HHB5_20530
Couple with no children,HHB5_20531
Couple with independent children only,HHB5_20535
Couple with no children,HHB5_20537
Couple with no children,HHB5_20538
Couple with dependent children,HHB5_20539
Couple with independent children only,HHB5_20541
Couple with independent children only,HHB5_20542
Couple with no children,HHB5_20548
Live alone,HHB5_20549
Other,HHB5_20550
Couple with independent children only,HHB5_20554
Couple with dependent children,HHB5_20556
Two or more non-family adults,HHB5_20558
Couple with no children,HHB5_20559
Couple with dependent children,HHB5_20564
Couple with dependent children,HHB5_20565
Couple with dependent children,HHB5_20568
Couple with independent children only,HHB5_20569
Couple with no children,HHB5_20571
Couple with independent children only,HHB5_20573
Lone parent with independent children only,HHB5_20579
Couple with no children,HHB5_20580
Live alone,HHB5_20581
Lone parent with dependent children,HHB5_20583
Couple with independent children only,HHB5_20584
Couple with dependent children,HHB5_20586
Couple with no children,HHB5_20587
Couple with no children,HHB5_20589
Couple with no children,HHB5_20591
Couple with no children,HHB5_20592
Couple with no children,HHB5_20593
Live alone,HHB5_20594
Couple with independent children only,HHB5_20597
Other,HHB5_20598
Live alone,HHB5_20599
Couple with no children,HHB5_20600
Couple with dependent children,HHB5_20601
Couple with independent children only,HHB5_20602
Couple with dependent children,HHB5_20604
Other,HHB5_20605
Live alone,HHB5_20606
Couple with independent children only,HHB5_20607
Couple with dependent children,HHB5_20612
Couple with dependent children,HHB5_20614
Live alone,HHB5_20616
Couple with dependent children,HHB5_20620
Couple with dependent children,HHB5_20627
Other,HHB5_20635
Couple with independent children only,HHB5_20636
Live alone,HHB5_20637
Couple with independent children only,HHB5_20639
Two or more non-family adults,HHB5_20640
Couple with no children,HHB5_20641
Couple with dependent children,HHB5_20645
Couple with independent children only,HHB5_20646
Live alone,HHB5_20649
Live alone,HHB5_20650
Couple with no children,HHB5_20658
Live alone,HHB5_20659
Two or more non-family adults,HHB5_20665
Couple with no children,HHB5_20666
Live alone,HHB5_20667
Two or more non-family adults,HHB5_20670
Couple with no children,HHB5_20672
Couple with dependent children,HHB5_20682
Couple with no children,HHB5_20684
Other,HHB5_20686
Two or more non-family adults,HHB5_20693
Couple with independent children only,HHB5_20694
Couple with no children,HHB5_20696
Two or more non-family adults,HHB5_20705
Live alone,HHB5_20709
Couple with no children,HHB5_20710
Couple with independent children only,HHB5_20711
Couple with no children,HHB5_20712
Couple with no children,HHB5_20714
Couple with independent children only,HHB5_20716
Couple with independent children only,HHB5_20717
Live alone,HHB5_20719
Couple with dependent children,HHB5_20720
Live alone,HHB5_20721
Live alone,HHB5_20723
Couple with no children,HHB5_20724
Live alone,HHB5_20725
Couple with independent children only,HHB5_20726
Lone parent with independent children only,HHB5_20727
Couple with dependent children,HHB5_20728
Couple with no children,HHB5_20729
Couple with independent children only,HHB5_20730
Couple with independent children only,HHB5_20732
Couple with no children,HHB5_20733
Couple with independent children only,HHB5_20734
Live alone,HHB5_20735
Households containing two or more families,HHB5_20736
Couple with dependent children,HHB5_20737
Other,HHB5_20738
Live alone,HHB5_20739
Live alone,HHB5_20740
Couple with dependent children,HHB5_20741
Couple with no children,HHB5_20745
Live alone,HHB5_20749
Couple with independent children only,HHB5_20750
Live alone,HHB5_20751
Couple with dependent children,HHB5_20752
Couple with no children,HHB5_20753
Lone parent with dependent children,HHB5_20755
Couple with independent children only,HHB5_20758
Couple with independent children only,HHB5_20759
Live alone,HHB5_20761
Couple with independent children only,HHB5_20762
Couple with independent children only,HHB5_20763
Live alone,HHB5_20764
Couple with dependent children,HHB5_20765
Couple with independent children only,HHB5_20766
Couple with independent children only,HHB5_20770
Couple with independent children only,HHB5_20772
Couple with independent children only,HHB5_20773
Lone parent with independent children only,HHB5_20774
Couple with independent children only,HHB5_20775
Couple with no children,HHB5_20776
Couple with independent children only,HHB5_20777
Live alone,HHB5_20778
Lone parent with dependent children,HHB5_20779
Live alone,HHB5_20780
Live alone,HHB5_20781
Live alone,HHB5_20782
Couple with no children,HHB5_20784
Live alone,HHB5_20785
Live alone,HHB5_20786
Live alone,HHB5_20787
Couple with independent children only,HHB5_20788
Lone parent with dependent children,HHB5_20789
Couple with dependent children,HHB5_20790
Couple with no children,HHB5_20791
Couple with independent children only,HHB5_20792
Couple with dependent children,HHB5_20794
Live alone,HHB5_20796
Couple with independent children only,HHB5_20797
Live alone,HHB5_20798
Couple with dependent children,HHB5_20800
Couple with independent children only,HHB5_20801
Couple with independent children only,HHB5_20803
Couple with dependent children,HHB5_20804
Live alone,HHB5_20805
Other,HHB5_20807
Couple with no children,HHB5_20808
Couple with independent children only,HHB5_20809
Live alone,HHB5_20810
Two or more non-family adults,HHB5_20812
Live alone,HHB5_20814
Couple with no children,HHB5_20815
Couple with independent children only,HHB5_20816
Live alone,HHB5_20818
Live alone,HHB5_20819
Couple with no children,HHB5_20820
Couple with independent children only,HHB5_20821
Couple with dependent children,HHB5_20822
Couple with no children,HHB5_20823
Couple with no children,HHB5_20824
Couple with no children,HHB5_20825
Live alone,HHB5_20826
Couple with no children,HHB5_20827
Live alone,HHB5_20829
Live alone,HHB5_20830
Couple with independent children only,HHB5_20832
Other,HHB5_20833
Live alone,HHB5_20835
Live alone,HHB5_20836
Couple with dependent children,HHB5_20837
Live alone,HHB5_20839
Couple with dependent children,HHB5_20840
Couple with no children,HHB5_20842
Couple with independent children only,HHB5_20843
Live alone,HHB5_20844
Live alone,HHB5_20845
Couple with no children,HHB5_20846
Live alone,HHB5_20848
Couple with dependent children,HHB5_20849
Couple with no children,HHB5_20850
Couple with independent children only,HHB5_20851
Live alone,HHB5_20852
Other,HHB5_20853
Other,HHB5_20854
Live alone,HHB5_20855
Couple with dependent children,HHB5_20856
Couple with no children,HHB5_20857
Couple with independent children only,HHB5_20858
Couple with no children,HHB5_20859
Live alone,HHB5_20860
Couple with independent children only,HHB5_20861
Live alone,HHB5_20862
Couple with no children,HHB5_20863
Couple with dependent children,HHB5_20864
Lone parent with independent children only,HHB5_20866
Live alone,HHB5_20870
Couple with dependent children,HHB5_20871
Couple with independent children only,HHB5_20872
Households containing two or more families,HHB5_20873
Live alone,HHB5_20874
Couple with dependent children,HHB5_20876
Couple with independent children only,HHB5_20877
Live alone,HHB5_20878
Live alone,HHB5_20880
Couple with independent children only,HHB5_20881
Live alone,HHB5_20882
Couple with dependent children,HHB5_20884
Live alone,HHB5_20886
Couple with independent children only,HHB5_20887
Couple with dependent children,HHB5_20889
Couple with independent children only,HHB5_20890
Live alone,HHB5_20891
Live alone,HHB5_20892
Couple with no children,HHB5_20893
Couple with dependent children,HHB5_20896
Live alone,HHB5_20897
Couple with independent children only,HHB5_20898
Live alone,HHB5_20899
Lone parent with independent children only,HHB5_20900
Live alone,HHB5_20902
Couple with no children,HHB5_20903
Couple with no children,HHB5_20904
Couple with dependent children,HHB5_20905
Couple with no children,HHB5_20906
Other,HHB5_20908
Live alone,HHB5_20909
Couple with dependent children,HHB5_20911
Couple with dependent children,HHB5_20915
Couple with no children,HHB5_20916
Couple with dependent children,HHB5_20917
Couple with no children,HHB5_20918
Couple with no children,HHB5_20919
Live alone,HHB5_20920
Couple with no children,HHB5_20921
Live alone,HHB5_20922
Live alone,HHB5_20923
Live alone,HHB5_20924
Live alone,HHB5_20925
Couple with no children,HHB5_20927
Two or more non-family adults,HHB5_20928
Couple with no children,HHB5_20929
Couple with dependent children,HHB5_20930
Couple with independent children only,HHB5_20931
Couple with independent children only,HHB5_20933
Live alone,HHB5_20935
Couple with dependent children,HHB5_20938
Live alone,HHB5_20939
Other,HHB5_20941
Couple with dependent children,HHB5_20943
Couple with dependent children,HHB5_20944
Couple with independent children only,HHB5_20947
Couple with independent children only,HHB5_20948
Couple with dependent children,HHB5_20949
Couple with dependent children,HHB5_20952
Couple with no children,HHB5_20955
Couple with no children,HHB5_20956
Live alone,HHB5_20957
Live alone,HHB5_20964
Couple with independent children only,HHB5_20965
Couple with no children,HHB5_20968
Couple with no children,HHB5_20971
Couple with no children,HHB5_20973
Couple with dependent children,HHB5_20974
Couple with independent children only,HHB5_20976
Couple with independent children only,HHB5_20977
Couple with no children,HHB5_20979
Live alone,HHB5_20980
Couple with dependent children,HHB5_20981
Two or more non-family adults,HHB5_20983
Two or more non-family adults,HHB5_20984
Couple with no children,HHB5_20985
Couple with independent children only,HHB5_20986
Couple with independent children only,HHB5_20988
Live alone,HHB5_20989
Couple with no children,HHB5_20990
Couple with no children,HHB5_20991
Other,HHB5_20992
Couple with independent children only,HHB5_20993
Lone parent with independent children only,HHB5_20994
Couple with no children,HHB5_20996
Lone parent with independent children only,HHB5_20997
Couple with no children,HHB5_20998
Couple with independent children only,HHB5_20999
Other,HHB5_21001
Couple with no children,HHB5_21004
Two or more non-family adults,HHB5_21005
Live alone,HHB5_21006
Couple with no children,HHB5_21007
Couple with no children,HHB5_21008
Couple with independent children only,HHB5_21009
Couple with independent children only,HHB5_21010
Live alone,HHB5_21011
Couple with no children,HHB5_21013
Live alone,HHB5_21014
Couple with independent children only,HHB5_21015
Couple with no children,HHB5_21017
Couple with no children,HHB5_21019
Couple with dependent children,HHB5_21020
Couple with independent children only,HHB5_21021
Couple with no children,HHB5_21022
Couple with dependent children,HHB5_21023
Couple with independent children only,HHB5_21024
Couple with dependent children,HHB5_21027
Couple with no children,HHB5_21028
Other,HHB5_21030
Couple with dependent children,HHB5_21031
Couple with no children,HHB5_21032
Couple with dependent children,HHB5_21033
Couple with independent children only,HHB5_21035
Lone parent with dependent children,HHB5_21036
Couple with no children,HHB5_21037
Lone parent with independent children only,HHB5_21038
Live alone,HHB5_21040
Couple with independent children only,HHB5_21041
Couple with independent children only,HHB5_21043
Couple with independent children only,HHB5_21044
Couple with dependent children,HHB5_21046
Households containing two or more families,HHB5_21047
Couple with independent children only,HHB5_21048
Couple with no children,HHB5_21049
Couple with independent children only,HHB5_21050
Couple with dependent children,HHB5_21051
Couple with dependent children,HHB5_21054
Live alone,HHB5_21056
Couple with no children,HHB5_21057
Couple with no children,HHB5_21058
Couple with independent children only,HHB5_21059
Couple with independent children only,HHB5_21061
Couple with independent children only,HHB5_21062
Couple with no children,HHB5_21063
Households containing two or more families,HHB5_21064
Other,HHB5_21065
Couple with independent children only,HHB5_21066
Other,HHB5_21067
Couple with no children,HHB5_21068
Couple with independent children only,HHB5_21069
Couple with no children,HHB5_21072
Couple with independent children only,HHB5_21073
Two or more non-family adults,HHB5_21075
Couple with independent children only,HHB5_21077
Couple with independent children only,HHB5_21079
Other,HHB5_21080
Two or more non-family adults,HHB5_21081
Couple with dependent children,HHB5_21082
Lone parent with dependent children,HHB5_21084
Lone parent with dependent children,HHB5_21085
Couple with no children,HHB5_21086
Couple with no children,HHB5_21087
Couple with dependent children,HHB5_21088
Lone parent with dependent children,HHB5_21090
Live alone,HHB5_21091
Couple with independent children only,HHB5_21092
Lone parent with dependent children,HHB5_21095
Couple with independent children only,HHB5_21096
Couple with no children,HHB5_21099
Couple with dependent children,HHB5_21100
Lone parent with dependent children,HHB5_21101
Couple with no children,HHB5_21102
Couple with no children,HHB5_21103
Couple with no children,HHB5_21104
Live alone,HHB5_21105
Couple with independent children only,HHB5_21107
Couple with independent children only,HHB5_21108
Couple with no children,HHB5_21110
Couple with independent children only,HHB5_21111
Couple with no children,HHB5_21112
Couple with independent children only,HHB5_21113
Two or more non-family adults,HHB5_21116
Couple with independent children only,HHB5_21119
Couple with no children,HHB5_21120
Couple with dependent children,HHB5_21123
Couple with independent children only,HHB5_21125
Live alone,HHB5_21130
Live alone,HHB5_21131
Live alone,HHB5_21132
Live alone,HHB5_21134
Live alone,HHB5_21136
Live alone,HHB5_21137
Live alone,HHB5_21138
Live alone,HHB5_21139
Live alone,HHB5_21141
Other,HHB5_21142
Live alone,HHB5_21143
Live alone,HHB5_21144
Live alone,HHB5_21145
Live alone,HHB5_21146
Live alone,HHB5_21147
Live alone,HHB5_21148
Live alone,HHB5_21149
Live alone,HHB5_21150
Live alone,HHB5_21152
Live alone,HHB5_21153
Couple with independent children only,HHB5_21155
Live alone,HHB5_21157
Live alone,HHB5_21158
Live alone,HHB5_21160
Live alone,HHB5_21162
Live alone,HHB5_21163
Live alone,HHB5_21164
Live alone,HHB5_21165
Live alone,HHB5_21166
Live alone,HHB5_21167
Live alone,HHB5_21168
Live alone,HHB5_21169
Live alone,HHB5_21170
Live alone,HHB5_21171
Lone parent with independent children only,HHB5_21174
Other,HHB5_21177
Couple with independent children only,HHB5_21178
Couple with no children,HHB5_21179
Couple with independent children only,HHB5_21182
Lone parent with dependent children,HHB5_21183
Couple with independent children only,HHB5_21184
Live alone,HHB5_21185
Couple with dependent children,HHB5_21186
Couple with no children,HHB5_21189
Couple with independent children only,HHB5_21190
Live alone,HHB5_21191
Live alone,HHB5_21192
Live alone,HHB5_21193
Lone parent with independent children only,HHB5_21194
Couple with no children,HHB5_21196
Couple with independent children only,HHB5_21197
Couple with independent children only,HHB5_21198
Couple with independent children only,HHB5_21199
Two or more non-family adults,HHB5_21202
Couple with no children,HHB5_21203
Couple with independent children only,HHB5_21207
Live alone,HHB5_21208
Couple with no children,HHB5_21209
Couple with independent children only,HHB5_21211
Couple with independent children only,HHB5_21212
Couple with dependent children,HHB5_21213
Live alone,HHB5_21214
Couple with no children,HHB5_21215
Couple with no children,HHB5_21216
Live alone,HHB5_21217
Live alone,HHB5_21218
Lone parent with independent children only,HHB5_21219
Couple with dependent children,HHB5_21220
Couple with independent children only,HHB5_21221
Two or more non-family adults,HHB5_21222
Couple with independent children only,HHB5_21223
Couple with dependent children,HHB5_21224
Couple with no children,HHB5_21225
Two or more non-family adults,HHB5_21226
Couple with dependent children,HHB5_21227
Other,HHB5_21228
Couple with independent children only,HHB5_21230
Couple with independent children only,HHB5_21231
Couple with dependent children,HHB5_21232
Live alone,HHB5_21233
Couple with independent children only,HHB5_21235
Live alone,HHB5_21236
Couple with independent children only,HHB5_21237
Live alone,HHB5_21238
Couple with no children,HHB5_21239
Other,HHB5_21240
Couple with independent children only,HHB5_21241
Couple with dependent children,HHB5_21242
Couple with independent children only,HHB5_21243
Couple with no children,HHB5_21244
Couple with dependent children,HHB5_21247
Couple with dependent children,HHB5_21248
Couple with no children,HHB5_21251
Couple with dependent children,HHB5_21252
Live alone,HHB5_21253
Other,HHB5_21254
Couple with independent children only,HHB5_21255
Couple with no children,HHB5_21257
Live alone,HHB5_21259
Other,HHB5_21262
Couple with independent children only,HHB5_21263
Couple with no children,HHB5_21265
Couple with no children,HHB5_21267
Live alone,HHB5_21268
Couple with independent children only,HHB5_21269
Live alone,HHB5_21271
Live alone,HHB5_21272
Couple with dependent children,HHB5_21273
Couple with no children,HHB5_21275
Couple with dependent children,HHB5_21276
Couple with independent children only,HHB5_21277
Couple with dependent children,HHB5_21278
Couple with independent children only,HHB5_21279
Couple with no children,HHB5_21280
Couple with dependent children,HHB5_21281
Couple with no children,HHB5_21282
Live alone,HHB5_21285
Couple with independent children only,HHB5_21286
Other,HHB5_21287
Couple with no children,HHB5_21290
Lone parent with independent children only,HHB5_21291
Couple with independent children only,HHB5_21292
Couple with no children,HHB5_21293
Two or more non-family adults,HHB5_21297
Couple with independent children only,HHB5_21299
Couple with dependent children,HHB5_21300
Two or more non-family adults,HHB5_21301
Lone parent with dependent children,HHB5_21302
Couple with dependent children,HHB5_21304
Couple with independent children only,HHB5_21306
Couple with dependent children,HHB5_21307
Couple with no children,HHB5_21308
Couple with independent children only,HHB5_21309
Live alone,HHB5_21310
Live alone,HHB5_21311
Live alone,HHB5_21312
Couple with dependent children,HHB5_21313
Couple with dependent children,HHB5_21314
Couple with independent children only,HHB5_21315
Lone parent with independent children only,HHB5_21317
Couple with independent children only,HHB5_21318
Lone parent with independent children only,HHB5_21319
Other,HHB5_21320
Households containing two or more families,HHB5_21322
Two or more non-family adults,HHB5_21324
Two or more non-family adults,HHB5_21325
Live alone,HHB5_21326
Live alone,HHB5_21328
Two or more non-family adults,HHB5_21330
Live alone,HHB5_21332
Couple with no children,HHB5_21333
Couple with no children,HHB5_21334
Live alone,HHB5_21335
Couple with dependent children,HHB5_21336
Couple with independent children only,HHB5_21337
Couple with dependent children,HHB5_21340
Live alone,HHB5_21341
Other,HHB5_21343
Live alone,HHB5_21344
Couple with dependent children,HHB5_21346
Couple with independent children only,HHB5_21349
Couple with dependent children,HHB5_21350
Couple with no children,HHB5_21351
Couple with independent children only,HHB5_21353
Couple with dependent children,HHB5_21354
Other,HHB5_21355
Couple with no children,HHB5_21356
Couple with independent children only,HHB5_21366
Couple with dependent children,HHB5_21367
Couple with independent children only,HHB5_21368
Couple with dependent children,HHB5_21369
Couple with dependent children,HHB5_21370
Couple with dependent children,HHB5_21371
Live alone,HHB5_21372
Couple with dependent children,HHB5_21374
Couple with no children,HHB5_21375
Live alone,HHB5_21376
Live alone,HHB5_21377
Live alone,HHB5_21378
Couple with dependent children,HHB5_21379
Couple with independent children only,HHB5_21380
Couple with dependent children,HHB5_21383
Other,HHB5_21384
Couple with dependent children,HHB5_21386
Lone parent with dependent children,HHB5_21387
Couple with no children,HHB5_21388
Live alone,HHB5_21390
Couple with dependent children,HHB5_21392
Live alone,HHB5_21394
Lone parent with independent children only,HHB5_21395
Couple with independent children only,HHB5_21398
Live alone,HHB5_21399
Live alone,HHB5_21400
Couple with dependent children,HHB5_21404
Couple with independent children only,HHB5_21405
Two or more non-family adults,HHB5_21407
Couple with no children,HHB5_21408
Live alone,HHB5_21410
Couple with no children,HHB5_21411
Couple with dependent children,HHB5_21414
Live alone,HHB5_21418
Couple with independent children only,HHB5_21420
Couple with no children,HHB5_21422
Couple with no children,HHB5_21424
